,Cases,Death,Date_year,Date_month,Date_day
163,18.0,0.0,2022,6,13
164,18.0,0.0,2022,6,14
165,22.0,0.0,2022,6,15
166,31.0,0.0,2022,6,16
167,29.0,0.0,2022,6,17
168,40.0,0.0,2022,6,18
169,24.0,0.0,2022,6,19
170,27.0,0.0,2022,6,20
171,27.0,1.0,2022,6,21
172,27.0,0.0,2022,6,22
173,29.0,0.0,2022,6,23
174,21.0,0.0,2022,6,24
175,35.0,0.0,2022,6,25
176,32.0,0.0,2022,6,26
177,17.0,0.0,2022,6,27
178,47.0,0.0,2022,6,28
179,40.0,0.0,2022,6,29
180,33.0,0.0,2022,6,30
181,22.0,0.0,2022,7,1
182,49.0,0.0,2022,7,2
183,42.0,0.0,2022,7,3
184,36.0,0.0,2022,7,4
185,46.0,0.0,2022,7,5
186,32.0,0.0,2022,7,6
187,31.0,0.0,2022,7,7
188,29.0,0.0,2022,7,8
189,17.0,0.0,2022,7,9
190,4.0,0.0,2022,7,10
191,7.0,0.0,2022,7,11
192,73.0,0.0,2022,7,12
193,51.0,0.0,2022,7,13
194,51.0,0.0,2022,7,14
195,31.0,0.0,2022,7,15
196,60.0,0.0,2022,7,16
197,53.0,2.0,2022,7,17
198,66.0,0.0,2022,7,18
199,51.0,2.0,2022,7,19
200,70.0,0.0,2022,7,20
201,69.0,0.0,2022,7,21
202,35.0,0.0,2022,7,22
203,67.0,1.0,2022,7,23
204,65.0,0.0,2022,7,24
205,60.0,1.0,2022,7,25
206,99.0,1.0,2022,7,26
207,61.0,0.0,2022,7,27
208,64.0,0.0,2022,7,28
209,65.0,0.0,2022,7,29
210,85.0,1.0,2022,7,30
211,80.0,1.0,2022,7,31
212,87.0,0.0,2022,8,1
213,65.0,2.0,2022,8,2
214,77.0,0.0,2022,8,3
215,91.0,1.0,2022,8,4
216,40.0,1.0,2022,8,5
217,77.0,0.0,2022,8,6
218,87.0,1.0,2022,8,7
219,79.0,0.0,2022,8,8
220,53.0,0.0,2022,8,9
221,92.0,0.0,2022,8,10
222,90.0,1.0,2022,8,11
223,53.0,0.0,2022,8,12
224,92.0,0.0,2022,8,13
225,116.0,0.0,2022,8,14
226,96.0,0.0,2022,8,15
227,128.0,1.0,2022,8,16
228,98.0,0.0,2022,8,17
229,93.0,0.0,2022,8,18
230,54.0,0.0,2022,8,19
231,117.0,1.0,2022,8,20
